Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
City of Goodland,Goodland,KS,70215,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,1,DR,Demand Response,DO,1,0,,0,,0,,0,,29438,,29438,,0,
Macon Area Chamber of Commerce,Macon,MO,70257,Private-Non-Profit Corporation,Rural Reporter,2022,,,,1,DR,Demand Response,DO,1,0,,0,,0,,0,,55108,,55108,,0,
Taliaferro County Board of Commissioners,Crawfordville,GA,41046,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,75203,,75203,,0,
Lincoln County Public Transportation,Lincoln,KS,70087,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,59571,,59571,,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,DR,Demand Response,PT,824,283058259,,23364960,,12773356,,147915248,,0,,467111823,,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,CB,Commuter Bus,DO,443,162560783,,46719003,,15960518,,35751557,,0,,260991861,,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,RB,Bus Rapid Transit,DO,125,65024314,,18687600,,6384208,,14300623,,0,,104396745,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,MB,Bus,DO,1779,558903138,,221257554,,22481480,,222107491,,0,,1024749663,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,CR,Commuter Rail,DO,865,583078620,,303995081,,175937697,,207796377,,0,,1270807775,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,DR,Demand Response,PT,340,35853123,,5706423,,2579037,,68286067,,0,,112424650,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,MB,Bus,PT,182,24842693,,10501076,,2531075,,25587571,,0,,63462415,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,VP,Vanpool,PT,50,473709,,99519,,59711,,2525718,,0,,3158657,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,LR,Light Rail,PT,42,46917653,,10198018,,21682655,,20497869,,0,,99296195,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,YR,Hybrid Rail,PT,16,11851898,,9420962,,8039973,,5549327,,0,,34862160,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,LR,Light Rail,DO,15,10634891,,4138580,,8434050,,4384207,,0,,27591728,,0,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,2807,MB,Bus,DO,1096,483600498,,165971853,,6128366,,183515562,,0,,839216279,,0,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,2807,HR,Heavy Rail,DO,998,424843329,,156702810,,274162416,,366252130,,0,,1221960685,,0,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,2807,DR,Demand Response,PT,662,108180558,,8019244,,3722434,,32497719,,0,,152419955,,0,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,2807,MB,Bus,PT,51,4782635,,478682,,288404,,991291,,0,,6541012,,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,MB,Bus,DO,1421,573655282,,233649669,,46176562,,239355199,,0,,1092836712,,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,VP,Vanpool,PT,673,3950755,,681932,,83495,,4894676,,0,,9610858,,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,LR,Light Rail,DO,148,188477050,,67950077,,64227282,,90106782,,0,,410761191,,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,MB,Bus,PT,109,25502650,,7989784,,2393467,,20865911,,0,,56751812,,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,DR,Demand Response,DO,70,19288474,,1483044,,484260,,3807722,,0,,25063500,,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,HR,Heavy Rail,DO,64,71726821,,25375410,,38673373,,39498806,,0,,175274410,,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,RB,Bus Rapid Transit,DO,24,19512258,,673666,,2727497,,8153286,,0,,31066707,,0,
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,2180,MB,Bus,DO,1274,519863037,,152024498,,32290969,,70486859,,0,,774665363,,0,
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,2180,HR,Heavy Rail,DO,906,286033481,,107115511,,172241041,,58217824,,0,,623607857,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,MB,Bus,DO,793,348422619,,119940710,,39075748,,146722357,,0,,654161434,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,VP,Vanpool,DO,745,1120411,,1247389,,68764,,6471965,,0,,8908529,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,DR,Demand Response,PT,217,34849284,,3443223,,297951,,16158524,,0,,54748982,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,TB,Trolleybus,DO,117,43509997,,10808783,,11746250,,18133907,,0,,84198937,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,DR,Demand Response,TX,94,3731143,,373370,,29112,,1658069,,0,,5791694,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,MB,Bus,PT,51,9801666,,2196101,,840824,,4652975,,0,,17491566,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,SR,Streetcar Rail,DO,10,6033952,,1976510,,1229244,,3271931,,0,,12511637,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,FB,Ferryboat,DO,2,3901843,,1525363,,114173,,3358280,,0,,8899659,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,CB,Commuter Bus,PT,0,0,,0,,0,,0,,0,,0,,52421738,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,LR,Light Rail,PT,0,0,,0,,0,,0,,0,,0,,80571413,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,MB,Bus,DO,653,270333933,,100209417,,25896864,,118059900,,0,,514500114,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,CR,Commuter Rail,PT,416,210156173,,131535820,,26951076,,105704177,,0,,474347246,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,DR,Demand Response,PT,372,69964490,,5280234,,4335218,,20016051,,0,,99595993,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,HR,Heavy Rail,DO,312,121165488,,74168390,,93397640,,45024917,,0,,333756435,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,LR,Light Rail,DO,124,88125694,,37447884,,29800606,,43782823,,0,,199157007,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,MB,Bus,PT,83,9526855,,3717204,,1779381,,2817567,,0,,17841007,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,RB,Bus Rapid Transit,DO,37,21041304,,5280967,,4869700,,9132564,,0,,40324535,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,TB,Trolleybus,DO,13,9483775,,3407990,,1447304,,4031525,,0,,18370594,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,FB,Ferryboat,PT,8,7948505,,1112997,,563698,,5309967,,0,,14935167,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,MB,Bus,DO,1089,372858331,,122161912,,77081883,,120139424,,0,,692241550,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,CR,Commuter Rail,DO,277,136075365,,59004034,,67164882,,47182226,,0,,309426507,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,HR,Heavy Rail,DO,238,83824560,,51970237,,50317410,,26135512,,0,,212247719,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,DR,Demand Response,PT,234,31313175,,2858599,,839661,,11315849,,0,,46327284,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,SR,Streetcar Rail,DO,92,38094435,,23053872,,5086193,,10105375,,0,,76339875,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,TB,Trolleybus,DO,29,8804285,,1632364,,1318450,,3184578,,0,,14939677,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,MB,Bus,PT,3,501422,,67854,,27839,,232171,,0,,829286,,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,MB,Bus,DO,627,184610847,,76601783,,34421349,,75202071,,0,,370836050,,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,DR,Demand Response,PT,398,52814245,,6196540,,7360205,,32718819,,0,,99089809,,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,DR,Demand Response,TX,150,31773245,,3688701,,1509099,,8522304,,0,,45493349,,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,CR,Commuter Rail,PT,149,70502775,,32327531,,32372583,,32027403,,0,,167230292,,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,CB,Commuter Bus,PT,88,27651592,,9979166,,1379583,,15055894,,0,,54066235,,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,HR,Heavy Rail,DO,42,17521784,,21615139,,19073612,,17779759,,0,,75990294,,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,LR,Light Rail,DO,17,17074629,,19961299,,5226073,,10289900,,0,,52551901,,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,DR,Demand Response,DO,15,741066,,69597,,1280,,200153,,0,,1012096,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,MB,Bus,DO,612,236817394,,100405077,,16720383,,46692928,,0,,400635782,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,DR,Demand Response,PT,332,29651556,,5930311,,3657724,,10177973,,0,,49417564,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,VP,Vanpool,PT,190,366195,,60863,,11277,,753539,,0,,1191874,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,MB,Bus,PT,91,6926235,,2950705,,553867,,1342495,,0,,11773302,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,HR,Heavy Rail,DO,84,29372385,,32198556,,28896504,,16507903,,0,,106975348,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,MG,Monorail/Automated Guideway,DO,21,4352561,,14284354,,7753631,,4138337,,0,,30528883,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,CB,Commuter Bus,PT,9,1761673,,751148,,142367,,371023,,0,,3026211,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,MB,Bus,DO,450,167852606,,71258756,,20435695,,94398220,,0,,353945277,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,DR,Demand Response,PT,336,46284588,,6064099,,2093782,,19918802,,0,,74361271,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,VP,Vanpool,DO,197,2528979,,474,,358795,,1019532,,0,,3907780,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,MB,Bus,PT,133,36960036,,10606627,,4412636,,22708607,,0,,74687906,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,CB,Commuter Bus,DO,104,14582770,,10059679,,4528230,,6221856,,0,,35392535,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,CB,Commuter Bus,PT,54,4839755,,1431946,,859578,,2259881,,0,,9391160,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,LR,Light Rail,DO,46,40166410,,16377527,,17053480,,28447360,,0,,102044777,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,RB,Bus Rapid Transit,DO,8,3290778,,888574,,276304,,1031468,,0,,5487124,,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,1149,CR,Commuter Rail,DO,1138,485775450,,303377999,,360967303,,203362461,,0,,1353483213,,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,1149,MB,Bus,PT,9,2220499,,132896,,123072,,305334,,0,,2781801,,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,1149,FB,Ferryboat,PT,2,3067775,,716965,,40363,,274497,,0,,4099600,,0,
MTA Bus Company,New York,NY,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,1134,MB,Bus,DO,1134,487040994,,181631784,,11672252,,112171831,,0,,792516861,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,VP,Vanpool,DO,425,1386294,,5395020,,2575615,,11142556,,0,,20499485,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,MB,Bus,DO,300,99257825,,39834681,,16687448,,37446164,,0,,193226118,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,DR,Demand Response,PT,87,7714713,,731220,,873155,,5244435,,0,,14563523,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,LR,Light Rail,DO,81,27326353,,37616438,,15160560,,17376983,,0,,97480334,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,CB,Commuter Bus,DO,66,6448106,,2599755,,493347,,2519236,,0,,12060444,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,DR,Demand Response,DO,52,9122926,,1742295,,738574,,5098328,,0,,16702123,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,CR,Commuter Rail,DO,45,19750383,,16211193,,14841254,,13600885,,0,,64403715,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,MB,Bus,PT,7,1015118,,145160,,111449,,879130,,0,,2150857,,0,
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,1015,DR,Demand Response,PT,701,104022171,,27404511,,2894968,,18959002,,0,,153280652,,0,
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,1015,DR,Demand Response,TX,292,11583646,,3310164,,350083,,2440050,,0,,17683943,,0,
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,1015,DR,Demand Response,TN,22,24329,,6940,,738,,6493,,0,,38500,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,1012,MB,Bus,DO,478,117752896,,37153216,,8162675,,43844785,,0,,206913572,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,1012,VP,Vanpool,DO,267,704639,,501690,,11040,,2556294,,0,,3773663,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,1012,DR,Demand Response,PT,202,15218303,,4141733,,627541,,4770913,,0,,24758490,,0,
Ark-Tex Council of Governments,Texarkana,TX,60145,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,56,MB,Bus,DO,6,0,,0,,0,,0,,932043,,932043,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,1012,DR,Demand Response,TX,30,1218508,,361139,,52995,,319983,,0,,1952625,,0,
